carga;codigo;gravidade;achado;prova
C-2026-000451;S3;baixa;cavalo tem 20294 pontos contra 1162 da carreta — sensor mais pobre em uso;carreta1=QXH6J44
C-2026-000452;S3;baixa;cavalo tem 18340 pontos contra 2721 da carreta — sensor mais pobre em uso;carreta1=TCE7I47
V-2026-000012;S3;baixa;cavalo tem 14730 pontos contra 1222 da carreta — sensor mais pobre em uso;carreta1=HKE0D75
V-2026-000061;S3;baixa;cavalo tem 7053 pontos contra 896 da carreta — sensor mais pobre em uso;carreta1=TZC9G24
V-2026-000061;V1;alta;a placa rastreada NUNCA esteve na origem (786 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Arujá
C-2026-000453;S3;baixa;cavalo tem 7273 pontos contra 1698 da carreta — sensor mais pobre em uso;carreta1=TCX3D71
C-2026-000454;S2;baixa;buraco de sinal de 41 h no rastreio (carreta1);
C-2026-000456;S1;alta;CEGA: nenhuma placa da carga transmitiu no periodo;cavalo=HOA0B56 carreta=GSV8C03
C-2026-000457;S2;baixa;buraco de sinal de 29 h no rastreio (carreta1);
C-2026-000457;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 118 km, mas a carreta saiu em manifesto novo;motivo=transbordo_udi · destino=Extrema · proxima=C-2026-000486
C-2026-000458;S3;baixa;cavalo tem 14048 pontos contra 1132 da carreta — sensor mais pobre em uso;carreta1=HKE0D75
C-2026-000459;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 4 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo · destino=Teresina · proxima=C-2026-000476
C-2026-000460;S3;baixa;cavalo tem 14880 pontos contra 2531 da carreta — sensor mais pobre em uso;carreta1=HIG4A80
C-2026-000463;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 9 km, mas a carreta saiu em manifesto novo;motivo=gps_saiu_do_destino · destino=Belo Horizonte · proxima=C-2026-000490
C-2026-000464;S2;baixa;buraco de sinal de 24 h no rastreio (carreta1);
C-2026-000467;S3;baixa;cavalo tem 13417 pontos contra 2152 da carreta — sensor mais pobre em uso;carreta1=TZC0I44
C-2026-000467;V1;alta;a placa rastreada NUNCA esteve na origem (286 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Japeri
C-2026-000468;S2;baixa;buraco de sinal de 36 h no rastreio (carreta1);
C-2026-000468;S3;baixa;cavalo tem 3839 pontos contra 886 da carreta — sensor mais pobre em uso;carreta1=HOA0E66
C-2026-000468;V1;alta;a placa rastreada NUNCA esteve na origem (291 km no minimo) — so o CAVALO esteve na origem — carreta errada no documento;origem=Nerópolis
C-2026-000470;S2;baixa;buraco de sinal de 35 h no rastreio (carreta1);
C-2026-000473;S2;baixa;buraco de sinal de 196 h no rastreio (carreta1);
C-2026-000473;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 87 km, mas a carreta saiu em manifesto novo;motivo=transbordo_udi · destino=Uberaba · proxima=C-2026-000573
C-2026-000475;S3;baixa;cavalo tem 16596 pontos contra 2384 da carreta — sensor mais pobre em uso;carreta1=TCE7I47
V-2026-000009;P1;media;PERNA SEM DESLOCAMENTO: a carreta ja estava no destino quando a janela abriu (2026-08-21 08:31) — nao ha reposicionamento a medir;destino=Monte Mor · rota=66 km
V-2026-000016;S2;baixa;buraco de sinal de 112 h no rastreio (carreta1);
V-2026-000019;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 0 km, mas a carreta saiu em manifesto novo;motivo=reposicionamento · destino=Uberlândia · proxima=C-2026-000550
V-2026-000022;S2;baixa;buraco de sinal de 196 h no rastreio (carreta1);
V-2026-000022;V1;alta;a placa rastreada NUNCA esteve na origem (72 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Guarulhos
V-2026-000028;S2;baixa;buraco de sinal de 35 h no rastreio (carreta1);
V-2026-000028;P1;media;PERNA SEM DESLOCAMENTO: a carreta ja estava no destino quando a janela abriu (2026-08-21 14:07) — nao ha reposicionamento a medir;destino=Jarinu · rota=165 km
C-2026-000478;S3;baixa;cavalo tem 6393 pontos contra 1407 da carreta — sensor mais pobre em uso;carreta1=TCX3D71
C-2026-000481;S3;baixa;cavalo tem 17679 pontos contra 1120 da carreta — sensor mais pobre em uso;carreta1=TYN8I98
C-2026-000481;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 7 km, mas a carreta saiu em manifesto novo;motivo=gps_carreta · destino=Japeri · proxima=C-2026-000514
C-2026-000485;S1;alta;CEGA: nenhuma placa da carga transmitiu no periodo;cavalo=QJP0A68 carreta=HKE0E20
C-2026-000486;S2;baixa;buraco de sinal de 29 h no rastreio (carreta1);
C-2026-000486;F3;media;RECORTE ERRADO: fechou 2026-08-25 18:46, 18 h longe do instante com lastro (saida do destino);chegada=2026-08-25 18:46
C-2026-000487;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 1 km, mas a carreta saiu em manifesto novo;motivo=gps_carreta · destino=Três Rios · proxima=C-2026-000504
V-2026-000015;S2;baixa;buraco de sinal de 105 h no rastreio (carreta1);
V-2026-000015;S3;baixa;cavalo tem 11964 pontos contra 65 da carreta — sensor mais pobre em uso;carreta1=HMV3D38
V-2026-000015;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 6 km, mas a carreta saiu em manifesto novo;motivo=reposicionamento · destino=Cordeirópolis · proxima=C-2026-000545
V-2026-000025;S2;baixa;buraco de sinal de 29 h no rastreio (carreta1);
V-2026-000025;V1;alta;a placa rastreada NUNCA esteve na origem (118 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Extrema
V-2026-000025;P1;media;PERNA SEM DESLOCAMENTO: a carreta ja estava no destino quando a janela abriu (2026-08-22 00:00) — nao ha reposicionamento a medir;destino=Cordeirópolis · rota=173 km
V-2026-000030;P1;media;PERNA SEM DESLOCAMENTO: a carreta ja estava no destino quando a janela abriu (2026-08-22 10:50) — nao ha reposicionamento a medir;destino=Amparo · rota=76 km
C-2026-000493;S1;alta;CEGA: nenhuma placa da carga transmitiu no periodo;cavalo=HDI9E22 carreta=HOA0E67
C-2026-000494;F3;media;RECORTE ERRADO: fechou 2026-08-28 00:00, 12 h longe do instante com lastro (chegada+24h);chegada=2026-08-26 11:36
C-2026-000495;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 58 km, mas a carreta saiu em manifesto novo;motivo=transbordo_udi · destino=Ribeirão Pires · proxima=C-2026-000626
C-2026-000498;S2;baixa;buraco de sinal de 41 h no rastreio (carreta1);
C-2026-000500;S2;baixa;buraco de sinal de 35 h no rastreio (carreta1);
C-2026-000505;S1;alta;CEGA: nenhuma placa da carga transmitiu no periodo;cavalo=HJZ0B89 carreta=HKE0E20
V-2026-000036;S3;baixa;cavalo tem 6494 pontos contra 1892 da carreta — sensor mais pobre em uso;carreta1=QXH6I52
V-2026-000058;P1;media;PERNA SEM DESLOCAMENTO: a carreta ja estava no destino quando a janela abriu (2026-08-24 05:26) — nao ha reposicionamento a medir;destino=Resende · rota=152 km
C-2026-000507;V1;alta;a placa rastreada NUNCA esteve na origem (146 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Uberlândia
C-2026-000507;F3;media;RECORTE ERRADO: fechou 2026-08-28 00:27, 24 h longe do instante com lastro (chegada+24h);chegada=2026-08-28 00:27
C-2026-000513;S3;baixa;cavalo tem 6241 pontos contra 1859 da carreta — sensor mais pobre em uso;carreta1=QXH6I52
C-2026-000514;S3;baixa;cavalo tem 10409 pontos contra 890 da carreta — sensor mais pobre em uso;carreta1=TYN8I98
C-2026-000515;S2;baixa;buraco de sinal de 43 h no rastreio (carreta1);
C-2026-000517;S2;baixa;buraco de sinal de 25 h no rastreio (carreta1);
C-2026-000520;S3;baixa;cavalo tem 13102 pontos contra 1777 da carreta — sensor mais pobre em uso;carreta1=TCE7I47
C-2026-000522;S3;baixa;cavalo tem 10953 pontos contra 1776 da carreta — sensor mais pobre em uso;carreta1=HIG4A80
C-2026-000524;S2;baixa;buraco de sinal de 68 h no rastreio (cavalo);
C-2026-000525;S3;baixa;cavalo tem 4932 pontos contra 889 da carreta — sensor mais pobre em uso;carreta1=GZV1A50
C-2026-000525;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 9 km, mas a carreta saiu em manifesto novo;motivo=gps_carreta · destino=Serra · proxima=C-2026-000570
C-2026-000530;S1;alta;CEGA: nenhuma placa da carga transmitiu no periodo;cavalo=HJZ0B89 carreta=HKE0E20
C-2026-000532;S2;baixa;buraco de sinal de 35 h no rastreio (carreta1);
C-2026-000533;S2;baixa;buraco de sinal de 112 h no rastreio (carreta1);
C-2026-000534;S3;baixa;cavalo tem 5763 pontos contra 1764 da carreta — sensor mais pobre em uso;carreta1=QXH6I52
V-2026-000037;S3;baixa;cavalo tem 5763 pontos contra 1764 da carreta — sensor mais pobre em uso;carreta1=QXH6I52
V-2026-000050;S3;baixa;cavalo tem 9580 pontos contra 817 da carreta — sensor mais pobre em uso;carreta1=TYN8I98
V-2026-000060;S3;baixa;cavalo tem 9461 pontos contra 1566 da carreta — sensor mais pobre em uso;carreta1=TZC0I44
C-2026-000541;S3;baixa;cavalo tem 9330 pontos contra 810 da carreta — sensor mais pobre em uso;carreta1=HOA0E09
C-2026-000545;S2;baixa;buraco de sinal de 97 h no rastreio (carreta1);
C-2026-000545;S3;baixa;cavalo tem 9100 pontos contra 42 da carreta — sensor mais pobre em uso;carreta1=HMV3D38
C-2026-000545;C5;baixa;saida digitada a mao, sem lastro no GPS (nao e defeito do motor);
C-2026-000545;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 96 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo · destino=Brasília · proxima=C-2026-000606
C-2026-000547;S3;baixa;cavalo tem 8620 pontos contra 600 da carreta — sensor mais pobre em uso;carreta1=TYN8I98
C-2026-000547;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 8 km, mas a carreta saiu em manifesto novo;motivo=gps_carreta · destino=Anápolis · proxima=C-2026-000620
C-2026-000548;S2;baixa;buraco de sinal de 61 h no rastreio (carreta1);
C-2026-000548;S3;baixa;cavalo tem 13309 pontos contra 681 da carreta — sensor mais pobre em uso;carreta1=TYO9J56
C-2026-000548;V1;alta;a placa rastreada NUNCA esteve na origem (130 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Amparo
C-2026-000549;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 0 km, mas a carreta saiu em manifesto novo;motivo=gps_carreta · destino=Uberlândia · proxima=C-2026-000636
C-2026-000550;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 1 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo · destino=Embu das Artes · proxima=C-2026-000605
C-2026-000551;S2;baixa;buraco de sinal de 68 h no rastreio (cavalo);
V-2026-000014;S2;baixa;buraco de sinal de 41 h no rastreio (carreta1);
V-2026-000014;S3;baixa;cavalo tem 1964 pontos contra 382 da carreta — sensor mais pobre em uso;carreta1=HMV3H14
V-2026-000014;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 291 km, mas a carreta saiu em manifesto novo;motivo=reposicionamento · destino=Nerópolis · proxima=C-2026-000571
V-2026-000029;S2;baixa;buraco de sinal de 35 h no rastreio (carreta1);
V-2026-000040;S3;baixa;cavalo tem 11345 pontos contra 1508 da carreta — sensor mais pobre em uso;carreta1=TCE7I47
C-2026-000552;C4;media;carga ativa ha 12 dias e a placa nunca saiu da origem;
C-2026-000553;S3;baixa;cavalo tem 8030 pontos contra 1307 da carreta — sensor mais pobre em uso;carreta1=TZC0I44
C-2026-000559;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 4 km, mas a carreta saiu em manifesto novo;motivo=sequencia_viagem · destino=Goiânia · proxima=C-2026-000595
C-2026-000563;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 9 km, mas a carreta saiu em manifesto novo;motivo=gps_carreta · destino=São Gonçalo · proxima=C-2026-000581
C-2026-000565;S2;baixa;buraco de sinal de 35 h no rastreio (carreta1);
C-2026-000569;S3;baixa;cavalo tem 10469 pontos contra 1452 da carreta — sensor mais pobre em uso;carreta1=TCE7I47
C-2026-000569;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 1 km, mas a carreta saiu em manifesto novo;motivo=gps_carreta · destino=Aparecida de Goiânia · proxima=C-2026-000589
C-2026-000571;S3;baixa;cavalo tem 1549 pontos contra 331 da carreta — sensor mais pobre em uso;carreta1=HMV3H14
C-2026-000571;V1;alta;a placa rastreada NUNCA esteve na origem (291 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Nerópolis
C-2026-000571;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 143 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo · destino=Pouso Alegre · proxima=C-2026-000609
C-2026-000573;V1;alta;a placa rastreada NUNCA esteve na origem (292 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Uberlândia
C-2026-000573;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 809 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo · destino=Guarulhos · proxima=C-2026-000597
C-2026-000575;S2;baixa;buraco de sinal de 53 h no rastreio (carreta1);
C-2026-000578;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 89 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo_sem_gps · destino=Brasília · proxima=C-2026-000644
C-2026-000582;S1;alta;CEGA: nenhuma placa da carga transmitiu no periodo;cavalo=HJZ0B89 carreta=HKE0E20
C-2026-000584;S2;baixa;buraco de sinal de 68 h no rastreio (cavalo);
V-2026-000011;S2;baixa;buraco de sinal de 43 h no rastreio (carreta1);
C-2026-000589;S3;baixa;cavalo tem 3502 pontos contra 1129 da carreta — sensor mais pobre em uso;carreta1=TCE7I47
C-2026-000592;S3;baixa;cavalo tem 3057 pontos contra 795 da carreta — sensor mais pobre em uso;carreta1=HNH1D02
C-2026-000595;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 233 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo_sem_gps · destino=Hidrolândia · proxima=C-2026-000679
C-2026-000597;V1;alta;a placa rastreada NUNCA esteve na origem (748 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Extrema
C-2026-000597;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 292 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo · destino=Uberlândia · proxima=C-2026-000615
C-2026-000598;S2;baixa;buraco de sinal de 53 h no rastreio (carreta1);
C-2026-000598;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 0 km, mas a carreta saiu em manifesto novo;motivo=gps_carreta · destino=Uberlândia · proxima=C-2026-000618
C-2026-000600;S3;baixa;cavalo tem 6110 pontos contra 538 da carreta — sensor mais pobre em uso;carreta1=HOA0E09
C-2026-000602;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 148 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo · destino=Rio de Janeiro · proxima=C-2026-000628
C-2026-000603;S2;baixa;buraco de sinal de 71 h no rastreio (carreta1);
C-2026-000603;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 411 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo_sem_gps · destino=Feira de Santana · proxima=C-2026-000674
C-2026-000606;S3;baixa;cavalo tem 6865 pontos contra 33 da carreta — sensor mais pobre em uso;carreta1=HMV3D38
C-2026-000606;V1;alta;a placa rastreada NUNCA esteve na origem (96 km no minimo) — so o CAVALO esteve na origem — carreta errada no documento;origem=Brasília
V-2026-000021;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 0 km, mas a carreta saiu em manifesto novo;motivo=reposicionamento · destino=Uberlândia · proxima=C-2026-000633
V-2026-000033;S2;baixa;buraco de sinal de 53 h no rastreio (carreta1);
C-2026-000609;F5;alta;ENTREGUE mas a carreta nunca chegou (234 km) e so o CAVALO pegou carga nova — e desengate, nao entrega;proxima do cavalo=C-2026-000646
C-2026-000615;V1;alta;a placa rastreada NUNCA esteve na origem (292 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Uberlândia
C-2026-000615;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 57 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo_sem_gps · destino=Brasília · proxima=C-2026-000646
C-2026-000618;S2;baixa;buraco de sinal de 53 h no rastreio (carreta1);
C-2026-000620;S3;baixa;cavalo tem 5166 pontos contra 208 da carreta — sensor mais pobre em uso;carreta1=TYN8I98
C-2026-000621;S3;baixa;cavalo tem 3358 pontos contra 997 da carreta — sensor mais pobre em uso;carreta1=QXH6I52
C-2026-000622;S2;baixa;buraco de sinal de 68 h no rastreio (cavalo);
C-2026-000628;V1;alta;a placa rastreada NUNCA esteve na origem (93 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Seropédica
C-2026-000628;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 332 km, mas a carreta saiu em manifesto novo;motivo=manifesto_novo_sem_gps · destino=Uberlândia · proxima=C-2026-000676
C-2026-000632;S3;baixa;cavalo tem 5321 pontos contra 2 da carreta — sensor mais pobre em uso;carreta1=HMV3D38
C-2026-000632;C5;baixa;saida digitada a mao, sem lastro no GPS (nao e defeito do motor);
C-2026-000632;C4;media;carga ativa ha 7 dias e a placa nunca saiu da origem;
C-2026-000634;S3;baixa;cavalo tem 4289 pontos contra 959 da carreta — sensor mais pobre em uso;carreta1=TCE7I47
C-2026-000634;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 7 km, mas a carreta saiu em manifesto novo;motivo=gps_saiu_do_destino · destino=Japeri · proxima=C-2026-000651
C-2026-000638;S3;baixa;cavalo tem 1229 pontos contra 259 da carreta — sensor mais pobre em uso;carreta1=NWA3B56
C-2026-000652;S2;baixa;buraco de sinal de 68 h no rastreio (cavalo);
C-2026-000651;S3;baixa;cavalo tem 4690 pontos contra 879 da carreta — sensor mais pobre em uso;carreta1=TCE7I47
C-2026-000650;S3;baixa;cavalo tem 5433 pontos contra 832 da carreta — sensor mais pobre em uso;carreta1=TCX3D71
C-2026-000648;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 110 km, mas a carreta saiu em manifesto novo;motivo=sem_prova_revisar · destino=Juiz de Fora · proxima=C-2026-000656
C-2026-000647;S3;baixa;cavalo tem 1493 pontos contra 419 da carreta — sensor mais pobre em uso;carreta1=HNH1D02
C-2026-000646;S1;alta;CEGA: nenhuma placa da carga transmitiu no periodo;cavalo=NJZ9B97 carreta=MWP0H69
C-2026-000644;F5;alta;ENTREGUE mas a carreta nunca chegou (256 km) e so o CAVALO pegou carga nova — e desengate, nao entrega;proxima do cavalo=C-2026-000653
